"","preferredLabel","conceptUri","code","onet_title","onet_code","occup_type","task_total"
"40","cellar operator","http://data.europa.eu/esco/occupation/3caa57c9-d360-4ce4-8000-34a983666ba7","8160.13","Food Processing Workers, All Other","51-3099.00","Non-green",NA
"41","leather production machine operator","http://data.europa.eu/esco/occupation/3da8ee8c-ab60-4feb-ab5b-3ba31ef9ec1f","8155.1","Textile, Apparel, and Furnishings Workers, All Other","51-6099.00","Non-green",NA
"42","incinerator operator","http://data.europa.eu/esco/occupation/3e626058-f669-4503-84ec-6ae1a6077a61","3132.1","Plant and System Operators, All Other","51-8099.00","Non-green",NA
"43","metal additive manufacturing operator","http://data.europa.eu/esco/occupation/418f3a43-a6b2-4101-aaa0-832fe7d82885","3119.10","Metal Workers and Plastic Workers, All Other","51-4199.00","Non-green",NA
"44","dairy products maker","http://data.europa.eu/esco/occupation/43841fa5-f8ae-43ce-834d-5482ec23ef9e","7513.1","Food Processing Workers, All Other","51-3099.00","Non-green",NA
"45","bus driving instructor","http://data.europa.eu/esco/occupation/4666cccf-cfbc-4296-95b5-67dad2f620d2","5165.1.1","Teachers and Instructors, All Other","25-3099.00","Non-green",NA
"46","sommelier","http://data.europa.eu/esco/occupation/499f80e3-860c-48ef-8286-be929a93e254","5131.2.2","Food Preparation and Serving Related Workers, All Other","35-9099.00","Non-green",NA
"47","social worker","http://data.europa.eu/esco/occupation/4b05bef2-ded4-4b09-ab94-f4c6a555a775","2635.3","Social Workers, All Other","21-1029.00","Non-green",NA
"48","housing support worker","http://data.europa.eu/esco/occupation/4edbde9f-218e-49c7-812f-c45262fb4128","3412.4.7","Community and Social Service Specialists, All Other","21-1099.00","Non-green",NA
"49","community artist","http://data.europa.eu/esco/occupation/4efdf62f-a1d9-450e-aebc-2d6a6110f05d","2659.1","Artists and Related Workers, All Other","27-1019.00","Non-green",NA
"50","cooper","http://data.europa.eu/esco/occupation/501a3798-08bf-4475-88d2-0e8c9befb101","7522.3","Woodworkers, All Other","51-7099.00","Non-green",NA
"51","stage machinist","http://data.europa.eu/esco/occupation/50b41847-6dad-4a2e-9427-a0374c2963fd","3435.25.4","Media and Communication Equipment Workers, All Other","27-4099.00","Non-green",NA
"52","survival instructor","http://data.europa.eu/esco/occupation/52a769ab-c899-4e8c-b31d-e5c2a01f32e3","3423.1.2.2.1","Teachers and Instructors, All Other","25-3099.00","Non-green",NA
